cxpb,mutpb,eta_c,eta_m,run,seed,best_fitness,error,generations,converged
0.6,0.2,1.0,20.0,1,1000,2.8247939098946517e-07,2.8247939098946517e-07,100000,False
0.6,0.2,1.0,20.0,2,1001,1.9730865119527152e-07,1.9730865119527152e-07,100000,False
0.6,0.2,1.0,20.0,3,1002,1.1355591311712487e-07,1.1355591311712487e-07,100000,False
0.6,0.2,1.0,50.0,1,1003,1.995175580304931e-08,1.995175580304931e-08,100000,False
0.6,0.2,1.0,50.0,2,1004,3.9578367250214797e-08,3.9578367250214797e-08,100000,False
0.6,0.2,1.0,50.0,3,1005,3.0860491051498684e-08,3.0860491051498684e-08,100000,False
0.6,0.2,5.0,20.0,1,1006,4.7495235833139304e-07,4.7495235833139304e-07,100000,False
0.6,0.2,5.0,20.0,2,1007,5.856175988583345e-07,5.856175988583345e-07,100000,False
0.6,0.2,5.0,20.0,3,1008,7.016389957925639e-07,7.016389957925639e-07,100000,False
0.6,0.2,5.0,50.0,1,1009,1.8164114123919717e-07,1.8164114123919717e-07,100000,False
0.6,0.2,5.0,50.0,2,1010,4.49514601541523e-07,4.49514601541523e-07,100000,False
0.6,0.2,5.0,50.0,3,1011,4.3652576664499065e-08,4.3652576664499065e-08,100000,False
0.6,0.4,1.0,20.0,1,1012,2.4685130028956337e-07,2.4685130028956337e-07,100000,False
0.6,0.4,1.0,20.0,2,1013,5.0572779741742124e-08,5.0572779741742124e-08,100000,False
0.6,0.4,1.0,20.0,3,1014,1.0026401753293612e-07,1.0026401753293612e-07,100000,False
0.6,0.4,1.0,50.0,1,1015,7.118701716990472e-08,7.118701716990472e-08,100000,False
0.6,0.4,1.0,50.0,2,1016,9.462112871005957e-09,9.462112871005957e-09,67465,True
0.6,0.4,1.0,50.0,3,1017,9.760199759512034e-09,9.760199759512034e-09,78284,True
0.6,0.4,5.0,20.0,1,1018,4.558388866371388e-08,4.558388866371388e-08,100000,False
0.6,0.4,5.0,20.0,2,1019,1.7773776050944434e-07,1.7773776050944434e-07,100000,False
0.6,0.4,5.0,20.0,3,1020,2.9817972801993164e-07,2.9817972801993164e-07,100000,False
0.6,0.4,5.0,50.0,1,1021,1.9852052446367452e-08,1.9852052446367452e-08,100000,False
0.6,0.4,5.0,50.0,2,1022,7.926018952275626e-09,7.926018952275626e-09,94839,True
0.6,0.4,5.0,50.0,3,1023,1.3011049304623157e-07,1.3011049304623157e-07,100000,False
0.8,0.2,1.0,20.0,1,1024,1.858818166056153e-08,1.858818166056153e-08,100000,False
0.8,0.2,1.0,20.0,2,1025,5.877268449694384e-09,5.877268449694384e-09,26064,True
0.8,0.2,1.0,20.0,3,1026,1.727087806102645e-07,1.727087806102645e-07,100000,False
0.8,0.2,1.0,50.0,1,1027,2.2410418409890553e-08,2.2410418409890553e-08,100000,False
0.8,0.2,1.0,50.0,2,1028,7.982080774127098e-09,7.982080774127098e-09,49518,True
0.8,0.2,1.0,50.0,3,1029,6.484161474418215e-08,6.484161474418215e-08,100000,False
0.8,0.2,5.0,20.0,1,1030,1.2504684860914494e-06,1.2504684860914494e-06,100000,False
0.8,0.2,5.0,20.0,2,1031,5.880327762497473e-07,5.880327762497473e-07,100000,False
0.8,0.2,5.0,20.0,3,1032,2.645585425398167e-06,2.645585425398167e-06,100000,False
0.8,0.2,5.0,50.0,1,1033,8.963176867382572e-08,8.963176867382572e-08,100000,False
0.8,0.2,5.0,50.0,2,1034,1.284961115288752e-07,1.284961115288752e-07,100000,False
0.8,0.2,5.0,50.0,3,1035,1.6976895267362124e-07,1.6976895267362124e-07,100000,False
0.8,0.4,1.0,20.0,1,1036,1.7465794144300162e-08,1.7465794144300162e-08,100000,False
0.8,0.4,1.0,20.0,2,1037,1.3678103982783796e-08,1.3678103982783796e-08,100000,False
0.8,0.4,1.0,20.0,3,1038,6.867857393899612e-08,6.867857393899612e-08,100000,False
0.8,0.4,1.0,50.0,1,1039,9.970335668185726e-09,9.970335668185726e-09,56441,True
0.8,0.4,1.0,50.0,2,1040,6.202753866091371e-10,6.202753866091371e-10,63646,True
0.8,0.4,1.0,50.0,3,1041,4.418183152665733e-09,4.418183152665733e-09,93833,True
0.8,0.4,5.0,20.0,1,1042,2.2138711130992306e-07,2.2138711130992306e-07,100000,False
0.8,0.4,5.0,20.0,2,1043,7.165496924699255e-07,7.165496924699255e-07,100000,False
0.8,0.4,5.0,20.0,3,1044,2.056035839359538e-07,2.056035839359538e-07,100000,False
0.8,0.4,5.0,50.0,1,1045,4.778721063303237e-08,4.778721063303237e-08,100000,False
0.8,0.4,5.0,50.0,2,1046,1.6268899116766988e-08,1.6268899116766988e-08,100000,False
0.8,0.4,5.0,50.0,3,1047,1.3638924656333984e-08,1.3638924656333984e-08,100000,False
